city_name,x,y,quantity
Miasto_0,0,6,10
Miasto_1,3,2,8
Miasto_2,2,7,14
Miasto_3,3,3,11
Miasto_4,6,2,13
Miasto_5,2,3,12
Miasto_6,7,3,6
Miasto_7,5,6,6
Miasto_8,7,4,17
Miasto_9,1,5,3
Miasto_10,1,0,5
Miasto_11,2,2,9
Miasto_12,7,1,3
Miasto_13,1,6,9
Miasto_14,7,6,17
Miasto_15,3,0,15
Miasto_16,1,3,10
Miasto_17,0,4,6
Miasto_18,4,2,7
Miasto_19,4,0,17
Miasto_20,0,1,5
Miasto_21,3,5,18
Miasto_22,6,0,8
Miasto_23,6,4,13
Miasto_24,6,3,1
Miasto_25,4,7,12
Miasto_26,1,1,2
Miasto_27,0,7,12
Miasto_28,6,1,6
Miasto_29,0,5,10
Miasto_30,3,1,17
Miasto_31,2,6,15
Miasto_32,5,2,15
Miasto_33,0,3,15
Miasto_34,1,4,8
Miasto_35,7,7,5
Miasto_36,7,5,18
Miasto_37,4,5,2
Miasto_38,3,7,17
Miasto_39,5,4,5
Miasto_40,1,7,6
Miasto_41,6,5,13
Miasto_42,6,6,11
Miasto_43,4,4,15
Miasto_44,4,1,8
Miasto_45,4,3,15
Miasto_46,5,7,12
Miasto_47,7,0,3
Miasto_48,3,6,2
Miasto_49,3,4,6
