name,x,y,quantity
Miasto_0,0,0,1
Miasto_1,0,-1,12
Miasto_2,0,-2,16
Miasto_3,1,-2,13
Miasto_4,-1,-2,12
Miasto_5,-1,-1,5
Miasto_6,-1,0,8
Miasto_7,0,-3,8
Miasto_8,0,-4,2
Miasto_9,0,-5,14
Miasto_10,-1,-5,17
Miasto_11,-1,-6,13
Miasto_12,-2,-5,14
Miasto_13,-1,-4,6
Miasto_14,-2,-4,2
Miasto_15,-3,-5,13
Miasto_16,-3,-4,18
Miasto_17,-3,-3,2
Miasto_18,-2,-3,13
Miasto_19,-1,-3,18
Miasto_20,1,-3,16
Miasto_21,2,-3,4
Miasto_22,2,-4,10
Miasto_23,1,-4,16
Miasto_24,1,-5,7
Miasto_25,2,-5,6
Miasto_26,2,-6,17
Miasto_27,3,-6,10
Miasto_28,3,-7,14
Miasto_29,3,-5,9
Miasto_30,4,-5,12
Miasto_31,4,-6,2
Miasto_32,5,-6,3
Miasto_33,5,-7,18
Miasto_34,6,-7,8
Miasto_35,4,-7,9
Miasto_36,5,-8,13
Miasto_37,5,-9,18
Miasto_38,6,-8,1
Miasto_39,6,-6,15
Miasto_40,7,-6,16
Miasto_41,7,-7,7
Miasto_42,6,-5,14
Miasto_43,7,-5,11
Miasto_44,5,-5,15
Miasto_45,2,-7,8
Miasto_46,2,-8,1
Miasto_47,2,-9,12
Miasto_48,3,-9,10
Miasto_49,3,-10,2
Miasto_50,3,-11,6
Miasto_51,2,-10,4
Miasto_52,4,-9,7
Miasto_53,4,-10,3
Miasto_54,5,-10,2
Miasto_55,6,-10,1
Miasto_56,6,-11,10
Miasto_57,5,-11,13
Miasto_58,4,-11,1
Miasto_59,4,-12,5
Miasto_60,4,-13,10
Miasto_61,4,-14,5
Miasto_62,3,-13,4
Miasto_63,3,-12,2
Miasto_64,2,-13,2
Miasto_65,2,-14,10
Miasto_66,1,-14,5
Miasto_67,3,-14,3
Miasto_68,1,-13,9
Miasto_69,0,-14,1
Miasto_70,0,-13,9
Miasto_71,2,-12,2
Miasto_72,2,-11,18
Miasto_73,1,-11,15
Miasto_74,0,-11,3
Miasto_75,-1,-11,8
Miasto_76,-1,-10,18
Miasto_77,-1,-9,8
Miasto_78,-2,-9,1
Miasto_79,-2,-10,6
Miasto_80,-3,-10,8
Miasto_81,-3,-9,6
Miasto_82,-4,-9,16
Miasto_83,-2,-11,2
Miasto_84,-2,-12,8
Miasto_85,-1,-12,13
Miasto_86,-1,-13,3
Miasto_87,0,-12,6
Miasto_88,-1,-14,4
Miasto_89,-2,-14,17
Miasto_90,-1,-15,3
Miasto_91,-2,-15,14
Miasto_92,-3,-15,8
Miasto_93,0,-15,16
Miasto_94,0,-16,16
Miasto_95,1,-16,10
Miasto_96,1,-17,5
Miasto_97,2,-17,15
Miasto_98,0,-17,7
Miasto_99,0,-18,18
Miasto_100,0,-19,7
Miasto_101,1,-18,10
Miasto_102,-1,-18,16
Miasto_103,-2,-18,17
Miasto_104,-2,-17,8
Miasto_105,-2,-16,12
Miasto_106,-3,-17,11
Miasto_107,-3,-16,13
Miasto_108,-4,-16,8
Miasto_109,-4,-15,9
Miasto_110,-5,-15,1
Miasto_111,-5,-16,12
Miasto_112,-5,-17,15
Miasto_113,-6,-17,3
Miasto_114,-7,-17,7
Miasto_115,-7,-18,14
Miasto_116,-7,-16,17
Miasto_117,-8,-16,12
Miasto_118,-8,-17,3
Miasto_119,-8,-18,9
Miasto_120,-9,-18,11
Miasto_121,-9,-17,16
Miasto_122,-9,-16,6
Miasto_123,-8,-15,18
Miasto_124,-8,-19,1
Miasto_125,-9,-19,2
Miasto_126,-10,-18,7
Miasto_127,-10,-17,16
Miasto_128,-10,-16,7
Miasto_129,-11,-16,15
Miasto_130,-10,-15,18
Miasto_131,-7,-15,4
Miasto_132,-6,-16,17
Miasto_133,-8,-20,8
Miasto_134,-9,-20,10
Miasto_135,-8,-21,3
Miasto_136,-7,-21,4
Miasto_137,-7,-20,9
Miasto_138,-7,-19,12
Miasto_139,-8,-22,8
Miasto_140,-7,-22,9
Miasto_141,-7,-23,16
Miasto_142,-7,-24,9
Miasto_143,-7,-25,12
Miasto_144,-8,-25,3
Miasto_145,-9,-25,2
Miasto_146,-9,-26,14
Miasto_147,-8,-26,2
Miasto_148,-7,-26,3
Miasto_149,-7,-27,14
Miasto_150,-8,-27,12
Miasto_151,-8,-28,16
Miasto_152,-9,-28,5
Miasto_153,-9,-27,8
Miasto_154,-8,-29,8
Miasto_155,-9,-29,14
Miasto_156,-7,-29,8
Miasto_157,-7,-28,10
Miasto_158,-8,-30,11
Miasto_159,-7,-30,2
Miasto_160,-7,-31,13
Miasto_161,-7,-32,8
Miasto_162,-8,-32,3
Miasto_163,-8,-33,4
Miasto_164,-7,-33,10
Miasto_165,-6,-33,17
Miasto_166,-5,-33,13
Miasto_167,-4,-33,11
Miasto_168,-4,-34,16
Miasto_169,-5,-34,9
Miasto_170,-6,-34,8
Miasto_171,-6,-35,12
Miasto_172,-7,-35,14
Miasto_173,-5,-35,16
Miasto_174,-4,-35,11
Miasto_175,-4,-36,17
Miasto_176,-5,-36,1
Miasto_177,-6,-36,15
Miasto_178,-7,-36,11
Miasto_179,-8,-36,1
Miasto_180,-8,-37,1
Miasto_181,-8,-38,12
Miasto_182,-9,-38,6
Miasto_183,-9,-37,5
Miasto_184,-9,-36,16
Miasto_185,-7,-38,18
Miasto_186,-7,-37,9
Miasto_187,-10,-36,5
Miasto_188,-10,-37,13
Miasto_189,-10,-35,3
Miasto_190,-9,-35,1
Miasto_191,-8,-35,1
Miasto_192,-8,-34,12
Miasto_193,-9,-33,11
Miasto_194,-9,-34,5
Miasto_195,-7,-34,12
Miasto_196,-9,-32,8
Miasto_197,-10,-32,15
Miasto_198,-10,-31,2
Miasto_199,-9,-31,5
Miasto_200,-9,-30,4
Miasto_201,-10,-30,17
Miasto_202,-11,-30,3
Miasto_203,-10,-29,3
Miasto_204,-11,-29,3
Miasto_205,-11,-28,10
Miasto_206,-11,-27,4
Miasto_207,-10,-27,5
Miasto_208,-11,-26,17
Miasto_209,-12,-26,10
Miasto_210,-12,-25,9
Miasto_211,-12,-24,11
Miasto_212,-13,-24,12
Miasto_213,-13,-25,6
Miasto_214,-13,-26,18
Miasto_215,-13,-27,9
Miasto_216,-12,-27,9
Miasto_217,-11,-25,4
Miasto_218,-10,-25,7
Miasto_219,-10,-26,8
Miasto_220,-10,-28,11
Miasto_221,-8,-31,13
Miasto_222,-6,-32,16
Miasto_223,-6,-30,15
Miasto_224,-6,-31,7
Miasto_225,-6,-29,11
Miasto_226,-6,-28,7
Miasto_227,-6,-27,5
Miasto_228,-6,-26,8
Miasto_229,-6,-25,14
Miasto_230,-6,-24,8
Miasto_231,-6,-23,2
Miasto_232,-5,-23,13
Miasto_233,-4,-23,12
Miasto_234,-5,-24,10
Miasto_235,-4,-24,3
Miasto_236,-5,-25,3
Miasto_237,-4,-25,4
Miasto_238,-3,-24,1
Miasto_239,-3,-25,16
Miasto_240,-2,-25,9
Miasto_241,-2,-24,6
Miasto_242,-2,-23,7
Miasto_243,-3,-23,5
Miasto_244,-3,-22,14
Miasto_245,-4,-22,15
Miasto_246,-2,-22,4
Miasto_247,-1,-24,3
Miasto_248,0,-24,9
Miasto_249,0,-25,7
Miasto_250,-1,-25,17
Miasto_251,-2,-26,13
Miasto_252,-3,-26,13
Miasto_253,-1,-26,16
Miasto_254,-4,-26,3
Miasto_255,-5,-22,1
Miasto_256,-5,-26,5
Miasto_257,-8,-24,3
Miasto_258,-5,-28,14
Miasto_259,-4,-28,1
Miasto_260,-3,-28,11
Miasto_261,-2,-28,5
Miasto_262,-2,-27,16
Miasto_263,-3,-27,2
Miasto_264,-3,-29,7
Miasto_265,-3,-30,11
Miasto_266,-3,-31,4
Miasto_267,-4,-31,9
Miasto_268,-5,-31,11
Miasto_269,-6,-37,18
Miasto_270,-5,-37,4
Miasto_271,-10,-33,18
Miasto_272,-10,-34,12
Miasto_273,-11,-34,1
Miasto_274,-12,-34,6
Miasto_275,-11,-36,13
Miasto_276,-12,-36,13
Miasto_277,-13,-36,7
Miasto_278,-14,-36,13
Miasto_279,-14,-37,4
Miasto_280,-13,-37,15
Miasto_281,-14,-35,6
Miasto_282,-13,-35,17
Miasto_283,-14,-34,18
Miasto_284,-14,-33,15
Miasto_285,-13,-33,6
Miasto_286,-12,-33,4
Miasto_287,-13,-34,17
Miasto_288,-15,-33,1
Miasto_289,-15,-34,6
Miasto_290,-16,-33,18
Miasto_291,-16,-34,5
Miasto_292,-16,-35,13
Miasto_293,-15,-35,1
Miasto_294,-15,-36,13
Miasto_295,-16,-36,8
Miasto_296,-16,-37,3
Miasto_297,-16,-38,15
Miasto_298,-17,-36,6
Miasto_299,-17,-35,6
Miasto_300,-17,-34,11
Miasto_301,-18,-35,13
Miasto_302,-19,-35,6
Miasto_303,-20,-35,5
Miasto_304,-21,-35,3
Miasto_305,-20,-36,1
Miasto_306,-19,-36,15
Miasto_307,-19,-34,8
Miasto_308,-19,-33,14
Miasto_309,-19,-32,6
Miasto_310,-18,-33,8
Miasto_311,-18,-34,11
Miasto_312,-18,-36,14
Miasto_313,-18,-37,8
Miasto_314,-17,-37,13
Miasto_315,-17,-33,3
Miasto_316,-17,-32,13
Miasto_317,-16,-32,8
Miasto_318,-12,-35,10
Miasto_319,-13,-38,16
Miasto_320,-13,-39,10
Miasto_321,-13,-40,12
Miasto_322,-14,-39,10
Miasto_323,-14,-40,12
Miasto_324,-14,-41,11
Miasto_325,-13,-41,5
Miasto_326,-13,-42,9
Miasto_327,-14,-42,16
Miasto_328,-15,-41,18
Miasto_329,-15,-40,10
Miasto_330,-15,-39,10
Miasto_331,-15,-38,14
Miasto_332,-15,-37,12
Miasto_333,-18,-38,6
Miasto_334,-18,-39,7
Miasto_335,-19,-39,11
Miasto_336,-19,-40,15
Miasto_337,-17,-38,8
Miasto_338,-17,-39,7
Miasto_339,-16,-39,10
Miasto_340,-17,-40,8
Miasto_341,-16,-40,18
Miasto_342,-14,-38,11
Miasto_343,-10,-38,9
Miasto_344,-11,-35,8
Miasto_345,-19,-38,18
Miasto_346,-20,-40,7
Miasto_347,-18,-40,16
Miasto_348,-19,-37,7
Miasto_349,-20,-37,15
Miasto_350,-20,-38,8
Miasto_351,-21,-38,1
Miasto_352,-22,-38,16
Miasto_353,-23,-38,11
Miasto_354,-24,-38,6
Miasto_355,-24,-39,10
Miasto_356,-23,-39,14
Miasto_357,-25,-39,13
Miasto_358,-25,-38,9
Miasto_359,-25,-37,15
Miasto_360,-25,-36,7
Miasto_361,-25,-35,2
Miasto_362,-24,-35,15
Miasto_363,-23,-35,3
Miasto_364,-23,-34,8
Miasto_365,-24,-34,18
Miasto_366,-23,-33,1
Miasto_367,-22,-33,13
Miasto_368,-21,-33,1
Miasto_369,-21,-32,14
Miasto_370,-22,-32,4
Miasto_371,-23,-32,8
Miasto_372,-24,-32,18
Miasto_373,-25,-32,9
Miasto_374,-25,-33,11
Miasto_375,-25,-34,16
Miasto_376,-23,-36,14
Miasto_377,-24,-33,2
Miasto_378,-26,-34,14
Miasto_379,-26,-35,9
Miasto_380,-27,-35,10
Miasto_381,-27,-34,7
Miasto_382,-27,-33,1
Miasto_383,-26,-33,3
Miasto_384,-26,-32,18
Miasto_385,-26,-31,9
Miasto_386,-26,-30,10
Miasto_387,-27,-32,17
Miasto_388,-27,-31,9
Miasto_389,-27,-30,4
Miasto_390,-27,-29,8
Miasto_391,-26,-29,6
Miasto_392,-25,-29,16
Miasto_393,-24,-29,2
Miasto_394,-23,-29,12
Miasto_395,-22,-29,11
Miasto_396,-22,-28,14
Miasto_397,-21,-28,9
Miasto_398,-21,-27,15
Miasto_399,-20,-27,8
Miasto_400,-19,-27,7
Miasto_401,-19,-28,9
Miasto_402,-18,-28,4
Miasto_403,-18,-29,2
Miasto_404,-18,-27,14
Miasto_405,-18,-26,4
Miasto_406,-18,-25,5
Miasto_407,-17,-25,1
Miasto_408,-16,-25,11
Miasto_409,-16,-26,2
Miasto_410,-15,-26,5
Miasto_411,-15,-25,17
Miasto_412,-15,-24,13
Miasto_413,-15,-23,17
Miasto_414,-15,-22,2
Miasto_415,-14,-22,2
Miasto_416,-14,-21,2
Miasto_417,-15,-21,7
Miasto_418,-16,-21,12
Miasto_419,-16,-20,8
Miasto_420,-16,-22,6
Miasto_421,-17,-22,6
Miasto_422,-18,-22,11
Miasto_423,-17,-21,15
Miasto_424,-18,-21,14
Miasto_425,-18,-20,16
Miasto_426,-19,-20,16
Miasto_427,-18,-19,13
Miasto_428,-17,-19,13
Miasto_429,-17,-18,5
Miasto_430,-16,-18,7
Miasto_431,-16,-17,13
Miasto_432,-17,-17,11
Miasto_433,-18,-18,2
Miasto_434,-19,-18,10
Miasto_435,-18,-17,1
Miasto_436,-18,-16,17
Miasto_437,-17,-16,14
Miasto_438,-16,-16,18
Miasto_439,-16,-15,14
Miasto_440,-15,-15,9
Miasto_441,-14,-15,1
Miasto_442,-13,-15,7
Miasto_443,-13,-16,18
Miasto_444,-14,-16,13
Miasto_445,-15,-16,18
Miasto_446,-15,-17,3
Miasto_447,-15,-18,12
Miasto_448,-15,-19,7
Miasto_449,-14,-18,9
Miasto_450,-14,-19,2
Miasto_451,-13,-19,6
Miasto_452,-16,-19,7
Miasto_453,-17,-20,15
Miasto_454,-16,-23,12
Miasto_455,-16,-24,1
Miasto_456,-17,-26,6
Miasto_457,-14,-25,8
Miasto_458,-15,-27,18
Miasto_459,-16,-27,14
Miasto_460,-15,-28,5
Miasto_461,-14,-28,5
Miasto_462,-13,-28,11
Miasto_463,-14,-27,7
Miasto_464,-17,-27,12
Miasto_465,-14,-29,16
Miasto_466,-15,-29,15
Miasto_467,-13,-29,14
Miasto_468,-13,-30,14
Miasto_469,-12,-28,7
Miasto_470,-9,-24,12
Miasto_471,-10,-24,5
Miasto_472,-10,-23,16
Miasto_473,-9,-23,14
Miasto_474,-8,-23,3
Miasto_475,-5,-27,7
