city_from,city_to,time
Miasto_0,Miasto_1,13
Miasto_0,Miasto_96,11
Miasto_0,Miasto_328,9
Miasto_1,Miasto_71,14
Miasto_1,Miasto_94,13
Miasto_1,Miasto_200,12
Miasto_2,Miasto_288,14
Miasto_2,Miasto_314,6
Miasto_2,Miasto_476,7
Miasto_2,Miasto_560,2
Miasto_3,Miasto_258,8
Miasto_3,Miasto_305,11
Miasto_3,Miasto_404,7
Miasto_4,Miasto_138,13
Miasto_4,Miasto_220,3
Miasto_4,Miasto_503,14
Miasto_4,Miasto_531,6
Miasto_5,Miasto_184,15
Miasto_5,Miasto_218,6
Miasto_5,Miasto_337,15
Miasto_6,Miasto_68,13
Miasto_6,Miasto_79,10
Miasto_6,Miasto_326,9
Miasto_6,Miasto_573,8
Miasto_7,Miasto_84,5
Miasto_7,Miasto_192,8
Miasto_7,Miasto_367,16
Miasto_7,Miasto_593,10
Miasto_8,Miasto_213,5
Miasto_8,Miasto_582,17
Miasto_8,Miasto_598,14
Miasto_9,Miasto_43,6
Miasto_9,Miasto_51,14
Miasto_9,Miasto_212,5
Miasto_9,Miasto_366,5
Miasto_10,Miasto_102,16
Miasto_10,Miasto_314,2
Miasto_10,Miasto_397,12
Miasto_10,Miasto_560,1
Miasto_11,Miasto_199,1
Miasto_11,Miasto_289,10
Miasto_11,Miasto_357,13
Miasto_11,Miasto_504,8
Miasto_12,Miasto_179,9
Miasto_12,Miasto_234,6
Miasto_12,Miasto_522,13
Miasto_13,Miasto_15,3
Miasto_13,Miasto_175,9
Miasto_13,Miasto_267,14
Miasto_13,Miasto_334,18
Miasto_14,Miasto_186,9
Miasto_14,Miasto_358,14
Miasto_14,Miasto_421,15
Miasto_14,Miasto_532,15
Miasto_15,Miasto_244,18
Miasto_15,Miasto_343,1
Miasto_15,Miasto_423,1
Miasto_16,Miasto_63,18
Miasto_16,Miasto_442,11
Miasto_17,Miasto_166,8
Miasto_17,Miasto_339,6
Miasto_17,Miasto_478,8
Miasto_17,Miasto_585,16
Miasto_18,Miasto_312,12
Miasto_18,Miasto_491,15
Miasto_18,Miasto_530,3
Miasto_18,Miasto_565,12
Miasto_19,Miasto_250,8
Miasto_19,Miasto_505,11
Miasto_20,Miasto_363,15
Miasto_20,Miasto_415,14
Miasto_20,Miasto_424,9
Miasto_21,Miasto_232,14
Miasto_21,Miasto_417,8
Miasto_21,Miasto_582,14
Miasto_21,Miasto_598,7
Miasto_22,Miasto_52,7
Miasto_22,Miasto_77,12
Miasto_22,Miasto_82,14
Miasto_22,Miasto_434,7
Miasto_23,Miasto_280,3
Miasto_23,Miasto_291,13
Miasto_23,Miasto_331,10
Miasto_23,Miasto_528,16
Miasto_24,Miasto_29,12
Miasto_24,Miasto_128,7
Miasto_24,Miasto_289,9
Miasto_24,Miasto_504,3
Miasto_25,Miasto_36,15
Miasto_25,Miasto_78,15
Miasto_25,Miasto_418,16
Miasto_26,Miasto_284,1
Miasto_26,Miasto_285,2
Miasto_26,Miasto_413,15
Miasto_26,Miasto_570,12
Miasto_27,Miasto_82,17
Miasto_27,Miasto_434,13
Miasto_28,Miasto_124,12
Miasto_28,Miasto_195,1
Miasto_28,Miasto_217,11
Miasto_28,Miasto_350,15
Miasto_29,Miasto_293,16
Miasto_29,Miasto_421,6
Miasto_29,Miasto_590,13
Miasto_30,Miasto_57,15
Miasto_30,Miasto_119,18
Miasto_30,Miasto_374,3
Miasto_30,Miasto_420,17
Miasto_31,Miasto_84,16
Miasto_31,Miasto_192,7
Miasto_31,Miasto_391,4
Miasto_31,Miasto_462,13
Miasto_32,Miasto_89,13
Miasto_32,Miasto_282,17
Miasto_32,Miasto_283,3
Miasto_32,Miasto_405,9
Miasto_33,Miasto_44,4
Miasto_33,Miasto_96,7
Miasto_33,Miasto_129,14
Miasto_33,Miasto_328,3
Miasto_34,Miasto_58,18
Miasto_34,Miasto_247,2
Miasto_34,Miasto_508,11
Miasto_34,Miasto_580,12
Miasto_35,Miasto_181,16
Miasto_35,Miasto_273,13
Miasto_35,Miasto_365,13
Miasto_35,Miasto_492,5
Miasto_36,Miasto_210,9
Miasto_36,Miasto_512,6
Miasto_37,Miasto_323,16
Miasto_37,Miasto_417,5
Miasto_37,Miasto_510,3
Miasto_37,Miasto_582,11
Miasto_38,Miasto_45,15
Miasto_38,Miasto_181,9
Miasto_38,Miasto_290,9
Miasto_38,Miasto_561,18
Miasto_39,Miasto_137,12
Miasto_39,Miasto_309,14
Miasto_39,Miasto_330,16
Miasto_39,Miasto_500,12
Miasto_40,Miasto_61,8
Miasto_40,Miasto_156,15
Miasto_40,Miasto_157,1
Miasto_40,Miasto_479,18
Miasto_41,Miasto_52,18
Miasto_41,Miasto_77,10
Miasto_41,Miasto_170,1
Miasto_41,Miasto_380,14
Miasto_42,Miasto_108,10
Miasto_42,Miasto_201,10
Miasto_42,Miasto_279,4
Miasto_42,Miasto_304,7
Miasto_43,Miasto_237,10
Miasto_43,Miasto_412,18
Miasto_43,Miasto_441,6
Miasto_44,Miasto_523,11
Miasto_44,Miasto_556,4
Miasto_45,Miasto_306,1
Miasto_46,Miasto_232,13
Miasto_46,Miasto_279,18
Miasto_46,Miasto_375,2
Miasto_46,Miasto_598,14
Miasto_47,Miasto_98,7
Miasto_47,Miasto_124,7
Miasto_47,Miasto_224,13
Miasto_48,Miasto_169,11
Miasto_48,Miasto_509,15
Miasto_48,Miasto_595,3
Miasto_49,Miasto_392,18
Miasto_49,Miasto_469,6
Miasto_49,Miasto_511,12
Miasto_50,Miasto_74,11
Miasto_50,Miasto_202,14
Miasto_50,Miasto_333,6
Miasto_50,Miasto_536,17
Miasto_51,Miasto_105,7
Miasto_51,Miasto_118,11
Miasto_51,Miasto_316,2
Miasto_52,Miasto_64,18
Miasto_52,Miasto_460,7
Miasto_53,Miasto_101,16
Miasto_53,Miasto_461,7
Miasto_53,Miasto_597,1
Miasto_54,Miasto_112,15
Miasto_54,Miasto_207,15
Miasto_54,Miasto_307,16
Miasto_54,Miasto_361,4
Miasto_55,Miasto_206,17
Miasto_55,Miasto_240,15
Miasto_55,Miasto_403,7
Miasto_55,Miasto_473,6
Miasto_56,Miasto_124,12
Miasto_56,Miasto_204,7
Miasto_56,Miasto_217,7
Miasto_56,Miasto_224,1
Miasto_57,Miasto_303,10
Miasto_57,Miasto_352,12
Miasto_57,Miasto_408,7
Miasto_58,Miasto_121,6
Miasto_58,Miasto_209,11
Miasto_58,Miasto_436,11
Miasto_59,Miasto_266,11
Miasto_59,Miasto_299,17
Miasto_59,Miasto_396,9
Miasto_59,Miasto_559,9
Miasto_60,Miasto_174,2
Miasto_60,Miasto_511,1
Miasto_60,Miasto_539,18
Miasto_61,Miasto_187,16
Miasto_61,Miasto_443,5
Miasto_62,Miasto_159,13
Miasto_62,Miasto_342,5
Miasto_62,Miasto_516,15
Miasto_62,Miasto_592,1
Miasto_63,Miasto_164,9
Miasto_63,Miasto_177,2
Miasto_63,Miasto_272,9
Miasto_64,Miasto_380,8
Miasto_64,Miasto_554,12
Miasto_64,Miasto_575,3
Miasto_65,Miasto_134,15
Miasto_65,Miasto_204,13
Miasto_65,Miasto_224,1
Miasto_65,Miasto_318,15
Miasto_66,Miasto_161,15
