city_from,city_to,time
Miasto_0,Miasto_1,12
Miasto_1,Miasto_2,1
Miasto_2,Miasto_3,11
Miasto_3,Miasto_4,15
Miasto_4,Miasto_5,10
Miasto_5,Miasto_6,2
Miasto_6,Miasto_7,6
Miasto_7,Miasto_8,2
Miasto_8,Miasto_9,6
Miasto_9,Miasto_10,11
Miasto_10,Miasto_11,15
Miasto_11,Miasto_12,10
Miasto_12,Miasto_13,8
Miasto_13,Miasto_14,5
Miasto_14,Miasto_15,4
Miasto_15,Miasto_16,16
Miasto_16,Miasto_17,15
Miasto_17,Miasto_18,10
Miasto_18,Miasto_19,1
Miasto_19,Miasto_20,18
Miasto_20,Miasto_21,18
Miasto_21,Miasto_22,3
Miasto_22,Miasto_23,12
Miasto_23,Miasto_24,2
Miasto_24,Miasto_25,15
Miasto_25,Miasto_26,10
Miasto_26,Miasto_27,11
Miasto_27,Miasto_28,4
Miasto_28,Miasto_29,1
Miasto_29,Miasto_30,3
Miasto_30,Miasto_31,17
Miasto_31,Miasto_32,13
Miasto_32,Miasto_33,10
Miasto_33,Miasto_34,14
Miasto_34,Miasto_35,9
Miasto_35,Miasto_36,8
Miasto_36,Miasto_37,14
Miasto_37,Miasto_38,15
Miasto_38,Miasto_39,4
Miasto_39,Miasto_40,9
Miasto_40,Miasto_41,18
Miasto_41,Miasto_42,16
Miasto_42,Miasto_43,3
Miasto_43,Miasto_44,9
Miasto_44,Miasto_45,4
Miasto_45,Miasto_46,16
Miasto_46,Miasto_47,2
Miasto_47,Miasto_48,16
Miasto_48,Miasto_49,6
Miasto_49,Miasto_50,14
Miasto_50,Miasto_51,5
Miasto_51,Miasto_52,11
Miasto_52,Miasto_53,16
Miasto_53,Miasto_54,18
Miasto_54,Miasto_55,14
Miasto_55,Miasto_56,12
Miasto_56,Miasto_57,8
Miasto_57,Miasto_58,6
Miasto_58,Miasto_59,14
Miasto_59,Miasto_60,10
Miasto_60,Miasto_61,16
Miasto_61,Miasto_62,9
Miasto_62,Miasto_63,13
Miasto_63,Miasto_64,16
Miasto_64,Miasto_65,11
Miasto_65,Miasto_66,7
Miasto_66,Miasto_67,12
Miasto_67,Miasto_68,11
Miasto_68,Miasto_69,7
Miasto_69,Miasto_70,4
Miasto_70,Miasto_71,18
Miasto_71,Miasto_72,15
Miasto_72,Miasto_73,13
Miasto_73,Miasto_74,4
Miasto_74,Miasto_75,14
Miasto_75,Miasto_76,13
Miasto_76,Miasto_77,13
Miasto_77,Miasto_78,3
Miasto_78,Miasto_79,15
Miasto_79,Miasto_80,18
Miasto_80,Miasto_81,3
Miasto_81,Miasto_82,18
Miasto_82,Miasto_83,3
Miasto_83,Miasto_84,2
Miasto_84,Miasto_85,3
Miasto_85,Miasto_86,5
Miasto_86,Miasto_87,6
Miasto_87,Miasto_88,12
Miasto_88,Miasto_89,9
Miasto_89,Miasto_90,17
Miasto_90,Miasto_91,14
Miasto_91,Miasto_92,7
Miasto_92,Miasto_93,14
Miasto_93,Miasto_94,10
Miasto_94,Miasto_95,12
Miasto_95,Miasto_96,18
Miasto_96,Miasto_97,13
Miasto_97,Miasto_98,18
Miasto_98,Miasto_99,11
Miasto_99,Miasto_100,15
Miasto_100,Miasto_101,9
Miasto_101,Miasto_102,3
Miasto_102,Miasto_103,15
Miasto_103,Miasto_104,2
Miasto_104,Miasto_105,1
Miasto_105,Miasto_106,16
Miasto_106,Miasto_107,6
Miasto_107,Miasto_108,2
Miasto_108,Miasto_109,17
Miasto_109,Miasto_110,3
Miasto_110,Miasto_111,12
Miasto_111,Miasto_112,17
Miasto_112,Miasto_113,11
Miasto_113,Miasto_114,5
Miasto_114,Miasto_115,8
Miasto_115,Miasto_116,6
Miasto_116,Miasto_117,10
Miasto_117,Miasto_118,13
Miasto_118,Miasto_119,4
Miasto_119,Miasto_120,14
Miasto_120,Miasto_121,7
Miasto_121,Miasto_122,15
Miasto_122,Miasto_123,1
Miasto_123,Miasto_124,6
Miasto_124,Miasto_125,3
Miasto_125,Miasto_126,13
Miasto_126,Miasto_127,11
Miasto_127,Miasto_128,12
Miasto_128,Miasto_129,8
Miasto_129,Miasto_130,1
Miasto_130,Miasto_131,18
Miasto_131,Miasto_132,7
Miasto_132,Miasto_133,2
Miasto_133,Miasto_134,2
Miasto_134,Miasto_135,16
Miasto_135,Miasto_136,4
Miasto_136,Miasto_137,17
Miasto_137,Miasto_138,12
Miasto_138,Miasto_139,11
Miasto_139,Miasto_140,4
Miasto_140,Miasto_141,9
Miasto_141,Miasto_142,15
Miasto_142,Miasto_143,12
Miasto_143,Miasto_144,18
Miasto_144,Miasto_145,12
Miasto_145,Miasto_146,11
Miasto_146,Miasto_147,4
Miasto_147,Miasto_148,10
Miasto_148,Miasto_149,3
