city_name,x,y,quantity
Miasto_0,99,0,9
Miasto_1,98,0,5
Miasto_2,97,0,7
Miasto_3,96,0,1
Miasto_4,95,0,11
Miasto_5,94,0,12
Miasto_6,93,0,1
Miasto_7,92,0,11
Miasto_8,91,0,7
Miasto_9,90,0,14
Miasto_10,89,0,17
Miasto_11,88,0,6
Miasto_12,87,0,8
Miasto_13,86,0,18
Miasto_14,85,0,1
Miasto_15,84,0,12
Miasto_16,83,0,2
Miasto_17,82,0,11
Miasto_18,81,0,2
Miasto_19,80,0,18
Miasto_20,79,0,9
Miasto_21,78,0,17
Miasto_22,77,0,9
Miasto_23,76,0,12
Miasto_24,75,0,17
Miasto_25,74,0,4
Miasto_26,73,0,8
Miasto_27,72,0,3
Miasto_28,71,0,13
Miasto_29,70,0,13
Miasto_30,69,0,13
Miasto_31,68,0,14
Miasto_32,67,0,6
Miasto_33,66,0,14
Miasto_34,65,0,8
Miasto_35,64,0,13
Miasto_36,63,0,18
Miasto_37,62,0,6
Miasto_38,61,0,13
Miasto_39,60,0,6
Miasto_40,59,0,12
Miasto_41,58,0,3
Miasto_42,57,0,9
Miasto_43,56,0,16
Miasto_44,55,0,10
Miasto_45,54,0,8
Miasto_46,53,0,18
Miasto_47,52,0,3
Miasto_48,51,0,13
Miasto_49,50,0,14
Miasto_50,49,0,9
Miasto_51,48,0,8
Miasto_52,47,0,9
Miasto_53,46,0,13
Miasto_54,45,0,3
Miasto_55,44,0,17
Miasto_56,43,0,12
Miasto_57,42,0,18
Miasto_58,41,0,7
Miasto_59,40,0,14
Miasto_60,39,0,3
Miasto_61,38,0,17
Miasto_62,37,0,1
Miasto_63,36,0,3
Miasto_64,35,0,11
Miasto_65,34,0,7
Miasto_66,33,0,13
Miasto_67,32,0,4
Miasto_68,31,0,4
Miasto_69,30,0,5
Miasto_70,29,0,12
Miasto_71,28,0,12
Miasto_72,27,0,4
Miasto_73,26,0,14
Miasto_74,25,0,12
Miasto_75,24,0,15
Miasto_76,23,0,13
Miasto_77,22,0,3
Miasto_78,21,0,17
Miasto_79,20,0,12
Miasto_80,19,0,8
Miasto_81,18,0,10
Miasto_82,17,0,17
Miasto_83,16,0,14
Miasto_84,15,0,3
Miasto_85,14,0,4
Miasto_86,13,0,1
Miasto_87,12,0,17
Miasto_88,11,0,14
Miasto_89,10,0,3
Miasto_90,9,0,4
Miasto_91,8,0,4
Miasto_92,7,0,7
Miasto_93,6,0,3
Miasto_94,5,0,17
Miasto_95,4,0,17
Miasto_96,3,0,5
Miasto_97,2,0,8
Miasto_98,1,0,7
Miasto_99,0,0,1
Miasto_100,-1,0,2
Miasto_101,-2,0,14
Miasto_102,-3,0,11
Miasto_103,-4,0,4
Miasto_104,-5,0,9
Miasto_105,-6,0,9
Miasto_106,-7,0,6
Miasto_107,-8,0,17
Miasto_108,-9,0,5
Miasto_109,-10,0,15
Miasto_110,-11,0,1
Miasto_111,-12,0,3
Miasto_112,-13,0,2
Miasto_113,-14,0,16
Miasto_114,-15,0,18
Miasto_115,-16,0,7
Miasto_116,-17,0,15
Miasto_117,-18,0,9
Miasto_118,-19,0,15
Miasto_119,-20,0,7
Miasto_120,-21,0,16
Miasto_121,-22,0,13
Miasto_122,-23,0,14
Miasto_123,-24,0,9
Miasto_124,-25,0,14
Miasto_125,-26,0,4
Miasto_126,-27,0,15
Miasto_127,-28,0,1
Miasto_128,-29,0,13
Miasto_129,-30,0,5
Miasto_130,-31,0,10
Miasto_131,-32,0,15
Miasto_132,-33,0,4
Miasto_133,-34,0,4
Miasto_134,-35,0,18
Miasto_135,-36,0,16
Miasto_136,-37,0,17
Miasto_137,-38,0,9
Miasto_138,-39,0,8
Miasto_139,-40,0,13
Miasto_140,-41,0,13
Miasto_141,-42,0,1
Miasto_142,-43,0,1
Miasto_143,-44,0,5
Miasto_144,-45,0,8
Miasto_145,-46,0,4
Miasto_146,-47,0,3
Miasto_147,-48,0,11
Miasto_148,-49,0,1
Miasto_149,-50,0,14
Miasto_150,-51,0,15
Miasto_151,-52,0,1
Miasto_152,-53,0,5
Miasto_153,-54,0,10
Miasto_154,-55,0,8
Miasto_155,-56,0,5
Miasto_156,-57,0,4
Miasto_157,-58,0,13
Miasto_158,-59,0,3
Miasto_159,-60,0,8
Miasto_160,-61,0,10
Miasto_161,-62,0,6
Miasto_162,-63,0,9
Miasto_163,-64,0,16
Miasto_164,-65,0,7
Miasto_165,-66,0,16
Miasto_166,-67,0,3
Miasto_167,-68,0,8
Miasto_168,-69,0,11
Miasto_169,-70,0,2
Miasto_170,-71,0,12
Miasto_171,-72,0,17
Miasto_172,-73,0,14
Miasto_173,-74,0,16
Miasto_174,-75,0,17
Miasto_175,-76,0,10
Miasto_176,-77,0,6
Miasto_177,-78,0,18
Miasto_178,-79,0,2
Miasto_179,-80,0,3
Miasto_180,-81,0,17
Miasto_181,-82,0,2
Miasto_182,-83,0,15
Miasto_183,-84,0,4
Miasto_184,-85,0,3
Miasto_185,-86,0,5
Miasto_186,-87,0,9
Miasto_187,-88,0,9
Miasto_188,-89,0,5
Miasto_189,-90,0,18
Miasto_190,-91,0,15
Miasto_191,-92,0,17
Miasto_192,-93,0,14
Miasto_193,-94,0,8
Miasto_194,-95,0,11
Miasto_195,-96,0,2
Miasto_196,-97,0,17
Miasto_197,-98,0,16
Miasto_198,-99,0,7
Miasto_199,-100,0,3
Miasto_200,0,10,8
Miasto_201,0,10,3
Miasto_202,0,9,6
Miasto_203,0,8,9
Miasto_204,0,7,2
Miasto_205,0,6,3
Miasto_206,0,5,3
Miasto_207,0,4,8
Miasto_208,0,3,4
Miasto_209,0,2,6
Miasto_210,0,1,3
Miasto_211,0,-1,8
Miasto_212,0,-2,2
Miasto_213,0,-3,2
Miasto_214,0,-4,17
Miasto_215,0,-5,17
Miasto_216,0,-6,16
Miasto_217,0,-7,7
Miasto_218,0,-8,10
Miasto_219,0,-9,3
Miasto_220,0,-10,4
Miasto_221,0,-11,17
Miasto_222,0,-12,3
Miasto_223,0,-13,12
Miasto_224,0,-14,10
Miasto_225,0,-15,1
Miasto_226,0,-16,3
Miasto_227,0,-17,14
Miasto_228,0,-18,8
Miasto_229,0,-19,3
Miasto_230,0,-20,18
Miasto_231,0,-21,17
Miasto_232,0,-22,1
Miasto_233,0,-23,18
Miasto_234,0,-24,17
Miasto_235,0,-25,11
Miasto_236,0,-26,5
Miasto_237,0,-27,12
Miasto_238,0,-28,7
Miasto_239,0,-29,3
Miasto_240,0,-30,1
Miasto_241,0,-31,15
Miasto_242,0,-32,2
Miasto_243,0,-33,17
Miasto_244,0,-34,18
Miasto_245,0,-35,3
Miasto_246,0,-36,14
Miasto_247,0,-37,18
Miasto_248,0,-38,4
Miasto_249,0,-39,10
Miasto_250,0,-40,5
Miasto_251,0,-41,12
Miasto_252,0,-42,7
Miasto_253,0,-43,12
Miasto_254,0,-44,12
Miasto_255,0,-45,15
Miasto_256,0,-46,3
Miasto_257,0,-47,3
Miasto_258,0,-48,13
Miasto_259,0,-49,17
Miasto_260,0,-50,8
Miasto_261,0,-51,18
Miasto_262,0,-52,14
Miasto_263,0,-53,14
Miasto_264,0,-54,18
Miasto_265,0,-55,8
Miasto_266,0,-56,13
Miasto_267,0,-57,6
Miasto_268,0,-58,14
Miasto_269,0,-59,10
Miasto_270,0,-60,13
Miasto_271,0,-61,13
Miasto_272,0,-62,15
Miasto_273,0,-63,8
Miasto_274,0,-64,3
Miasto_275,0,-65,13
Miasto_276,0,-66,16
Miasto_277,0,-67,15
Miasto_278,0,-68,18
Miasto_279,0,-69,4
Miasto_280,0,-70,5
Miasto_281,0,-71,11
Miasto_282,0,-72,6
Miasto_283,0,-73,14
Miasto_284,0,-74,16
Miasto_285,0,-75,7
Miasto_286,0,-76,12
Miasto_287,0,-77,5
Miasto_288,0,-78,5
Miasto_289,0,-79,18
Miasto_290,0,-80,12
Miasto_291,0,-81,2
Miasto_292,0,-82,16
Miasto_293,0,-83,8
Miasto_294,0,-84,18
Miasto_295,0,-85,7
Miasto_296,0,-86,3
Miasto_297,0,-87,5
Miasto_298,0,-88,13
Miasto_299,0,-89,17
Miasto_300,0,-90,5
Miasto_301,0,-91,14
Miasto_302,0,-92,1
Miasto_303,0,-93,18
Miasto_304,0,-94,11
