city_from,city_to,time
Miasto_0,Miasto_1,17
Miasto_1,Miasto_2,14
Miasto_2,Miasto_3,11
Miasto_3,Miasto_4,12
Miasto_4,Miasto_5,15
Miasto_5,Miasto_6,15
Miasto_6,Miasto_7,14
Miasto_7,Miasto_8,11
Miasto_8,Miasto_9,10
Miasto_9,Miasto_10,11
Miasto_10,Miasto_11,8
Miasto_11,Miasto_12,9
Miasto_12,Miasto_13,10
Miasto_13,Miasto_14,13
Miasto_14,Miasto_15,12
Miasto_15,Miasto_16,11
Miasto_16,Miasto_17,3
Miasto_17,Miasto_18,13
Miasto_18,Miasto_19,10
Miasto_19,Miasto_20,1
Miasto_20,Miasto_21,17
Miasto_21,Miasto_22,6
Miasto_22,Miasto_23,3
Miasto_23,Miasto_24,7
Miasto_24,Miasto_25,9
Miasto_25,Miasto_26,2
Miasto_26,Miasto_27,17
Miasto_27,Miasto_28,1
Miasto_28,Miasto_29,16
Miasto_29,Miasto_30,3
Miasto_30,Miasto_31,1
Miasto_31,Miasto_32,3
Miasto_32,Miasto_33,12
Miasto_33,Miasto_34,8
Miasto_34,Miasto_35,15
Miasto_35,Miasto_36,10
Miasto_36,Miasto_37,4
Miasto_37,Miasto_38,14
Miasto_38,Miasto_39,8
Miasto_39,Miasto_40,2
Miasto_40,Miasto_41,2
Miasto_41,Miasto_42,7
Miasto_42,Miasto_43,15
Miasto_43,Miasto_44,5
Miasto_44,Miasto_45,8
Miasto_45,Miasto_46,15
Miasto_46,Miasto_47,13
Miasto_47,Miasto_48,5
Miasto_48,Miasto_49,10
Miasto_49,Miasto_50,7
Miasto_50,Miasto_51,10
Miasto_51,Miasto_52,7
Miasto_52,Miasto_53,6
Miasto_53,Miasto_54,11
Miasto_54,Miasto_55,5
Miasto_55,Miasto_56,13
Miasto_56,Miasto_57,4
Miasto_57,Miasto_58,11
Miasto_58,Miasto_59,15
Miasto_59,Miasto_60,5
Miasto_60,Miasto_61,8
Miasto_61,Miasto_62,14
Miasto_62,Miasto_63,12
Miasto_63,Miasto_64,14
Miasto_64,Miasto_65,5
Miasto_65,Miasto_66,18
Miasto_66,Miasto_67,15
Miasto_67,Miasto_68,17
Miasto_68,Miasto_69,12
Miasto_69,Miasto_70,6
Miasto_70,Miasto_71,5
Miasto_71,Miasto_72,12
Miasto_72,Miasto_73,2
Miasto_73,Miasto_74,6
Miasto_74,Miasto_75,18
Miasto_75,Miasto_76,16
Miasto_76,Miasto_77,4
Miasto_77,Miasto_78,13
Miasto_78,Miasto_79,5
Miasto_79,Miasto_80,13
Miasto_80,Miasto_81,18
Miasto_81,Miasto_82,9
Miasto_82,Miasto_83,9
Miasto_83,Miasto_84,13
Miasto_84,Miasto_85,3
Miasto_85,Miasto_86,5
Miasto_86,Miasto_87,17
Miasto_87,Miasto_88,18
Miasto_88,Miasto_89,3
Miasto_89,Miasto_90,9
Miasto_90,Miasto_91,8
Miasto_91,Miasto_92,9
Miasto_92,Miasto_93,13
Miasto_93,Miasto_94,2
Miasto_94,Miasto_95,13
Miasto_95,Miasto_96,16
Miasto_96,Miasto_97,8
Miasto_97,Miasto_98,17
Miasto_98,Miasto_99,12
Miasto_99,Miasto_100,6
Miasto_99,Miasto_210,4
Miasto_99,Miasto_211,13
Miasto_100,Miasto_101,13
Miasto_101,Miasto_102,2
Miasto_102,Miasto_103,2
Miasto_103,Miasto_104,8
Miasto_104,Miasto_105,4
Miasto_105,Miasto_106,14
