name,x,y,quantity
Miasto_0,0,0,5
Miasto_1,1,0,11
Miasto_2,2,0,4
Miasto_3,3,0,18
Miasto_4,3,-1,8
Miasto_5,2,-1,1
Miasto_6,3,-2,5
Miasto_7,4,-2,7
Miasto_8,4,-1,12
Miasto_9,1,-1,18
Miasto_10,1,1,7
Miasto_11,2,1,11
Miasto_12,3,1,10
Miasto_13,-1,0,15
Miasto_14,-2,0,17
Miasto_15,-2,-1,9
Miasto_16,-2,-2,12
Miasto_17,-2,-3,4
Miasto_18,-1,-3,13
Miasto_19,-1,-4,3
Miasto_20,0,-4,17
Miasto_21,0,-5,6
Miasto_22,1,-5,18
Miasto_23,-1,-5,6
Miasto_24,-1,-6,2
Miasto_25,-1,-7,6
Miasto_26,0,-7,6
Miasto_27,0,-8,1
Miasto_28,1,-8,15
Miasto_29,1,-7,11
Miasto_30,2,-7,9
Miasto_31,0,-9,7
Miasto_32,1,-9,10
Miasto_33,1,-10,4
Miasto_34,2,-10,9
Miasto_35,3,-10,6
Miasto_36,2,-11,5
Miasto_37,1,-11,10
Miasto_38,0,-11,15
Miasto_39,-1,-11,3
Miasto_40,-1,-12,8
Miasto_41,1,-12,5
Miasto_42,1,-13,15
Miasto_43,2,-13,16
Miasto_44,2,-12,10
Miasto_45,3,-12,7
Miasto_46,4,-12,3
Miasto_47,5,-12,18
Miasto_48,5,-11,3
Miasto_49,5,-13,12
Miasto_50,5,-14,15
Miasto_51,4,-14,6
Miasto_52,3,-14,16
Miasto_53,2,-14,15
Miasto_54,4,-13,15
Miasto_55,6,-12,17
Miasto_56,7,-12,8
Miasto_57,8,-12,15
Miasto_58,8,-11,2
Miasto_59,7,-11,5
Miasto_60,9,-12,3
Miasto_61,10,-12,10
Miasto_62,4,-11,7
Miasto_63,3,-11,6
Miasto_64,4,-10,12
Miasto_65,0,-10,3
Miasto_66,2,-9,13
Miasto_67,2,-8,2
Miasto_68,3,-8,18
Miasto_69,3,-7,15
Miasto_70,3,-6,10
Miasto_71,3,-5,9
Miasto_72,4,-6,5
Miasto_73,4,-7,8
Miasto_74,4,-8,15
Miasto_75,5,-7,17
Miasto_76,6,-7,4
Miasto_77,6,-6,18
Miasto_78,7,-6,10
Miasto_79,7,-5,8
Miasto_80,7,-7,8
Miasto_81,7,-8,6
Miasto_82,8,-7,9
Miasto_83,5,-6,13
Miasto_84,4,-5,12
Miasto_85,-1,-8,18
